State,District,Name,Party,Birthdate,Age
Alaska,AK-AL,Mary Peltola,D,8/31/73,50
Alabama,AL-01,Jerry Carl,R,6/17/58,65
Alabama,AL-02,Barry Moore,R,9/26/66,57
Alabama,AL-03,Mike D. Rogers,R,7/16/58,65
Alabama,AL-04,Robert B. Aderholt,R,7/22/65,58
Alabama,AL-05,Dale Strong,R,5/8/70,53
Alabama,AL-06,Gary Palmer,R,5/14/54,69
Alabama,AL-07,Terri A. Sewell,D,1/1/65,59
Arkansas,AR-01,Eric Crawford,R,1/22/66,58
Arkansas,AR-02,French Hill,R,12/5/56,67
Arkansas,AR-03,Steve Womack,R,2/18/57,67
Arkansas,AR-04,Bruce Westerman,R,11/18/67,56
American Samoa,AS-AL,Aumua Amata Radewagen,R,12/29/47,76
Arizona,AZ-01,David Schweikert,R,3/3/62,62
Arizona,AZ-02,Elijah Crane,R,1/3/80,44
Arizona,AZ-03,Ruben Gallego,D,11/20/79,44
Arizona,AZ-04,Greg Stanton,D,3/8/70,54
Arizona,AZ-05,Andy Biggs,R,11/7/58,65
Arizona,AZ-06,Juan Ciscomani,R,8/31/82,41
Arizona,AZ-07,Raul M. Grijalva,D,2/19/48,76
Arizona,AZ-08,Debbie Lesko,R,11/14/58,65
Arizona,AZ-09,Paul Gosar,R,11/27/58,65
California,CA-01,Doug LaMalfa,R,7/2/60,63
California,CA-02,Jared Huffman,D,2/18/64,60
California,CA-03,Kevin Kiley,R,1/30/85,39
California,CA-04,Mike Thompson,D,1/24/51,73
California,CA-05,Tom McClintock,R,7/10/56,67
California,CA-06,Ami Bera,D,3/2/65,59
California,CA-07,Doris Matsui,D,9/25/44,79
California,CA-08,John Garamendi,D,1/24/45,79
California,CA-09,Josh Harder,D,8/1/86,37
California,CA-10,Mark DeSaulnier,D,3/31/52,71
California,CA-11,Nancy Pelosi,D,3/26/40,84
California,CA-12,Barbara Lee,D,7/16/46,77
California,CA-13,John Duarte,R,9/9/66,57
California,CA-14,Eric Swalwell,D,11/16/80,43
California,CA-15,Kevin Mullin,D,6/15/70,53
California,CA-16,Anna G. Eshoo,D,12/13/42,81
California,CA-17,Ro Khanna,D,9/13/76,47
California,CA-18,Zoe Lofgren,D,12/21/47,76
California,CA-19,Jimmy Panetta,D,10/1/69,54
California,CA-20,Kevin McCarthy,R,1/26/65,59
California,CA-21,Jim Costa,D,4/13/52,71
California,CA-22,David Valadao,R,4/14/77,46
California,CA-23,Jay Obernolte,R,8/18/70,53
California,CA-24,Salud Carbajal,D,11/18/64,59
California,CA-25,Raul Ruiz,D,8/25/72,51
California,CA-26,Julia Brownley,D,8/28/52,71
